ID,timestamp,item,corporation,location,supply(kg),price(원/kg),precessed_price,index
TG_A_J_20190101,2019-01-01,TG,A,J,0.0,0.0,,0
TG_A_J_20190102,2019-01-02,TG,A,J,0.0,0.0,,1
TG_A_J_20190103,2019-01-03,TG,A,J,60601.0,0.0,1728.0,2
TG_A_J_20190104,2019-01-04,TG,A,J,25000.0,0.0,1408.0,3
TG_A_J_20190105,2019-01-05,TG,A,J,32352.0,893.4,1250.0,4
TG_A_J_20190106,2019-01-06,TG,A,J,0.0,0.0,,5
TG_A_J_20190107,2019-01-07,TG,A,J,44995.0,1460.6,1474.0,6
TG_A_J_20190108,2019-01-08,TG,A,J,26975.0,1380.2,1326.0,7
TG_A_J_20190109,2019-01-09,TG,A,J,29265.0,1368.0,1428.0,8
TG_A_J_20190110,2019-01-10,TG,A,J,21226.0,1404.6,1433.0,9
TG_A_J_20190111,2019-01-11,TG,A,J,25752.0,1441.4,1546.0,10
TG_A_J_20190112,2019-01-12,TG,A,J,35488.0,1421.4,1374.0,11
TG_A_J_20190113,2019-01-13,TG,A,J,0.0,0.0,,12
TG_A_J_20190114,2019-01-14,TG,A,J,15320.0,1516.2,1694.0,13
TG_A_J_20190115,2019-01-15,TG,A,J,40486.0,1520.8,1456.0,14
TG_A_J_20190116,2019-01-16,TG,A,J,37623.0,1505.6,1470.0,15
TG_A_J_20190117,2019-01-17,TG,A,J,3956.0,1814.6,2919.0,16
TG_A_J_20190118,2019-01-18,TG,A,J,39275.0,1782.6,1374.0,17
TG_A_J_20190119,2019-01-19,TG,A,J,22295.0,1709.8,1330.0,18
TG_A_J_20190120,2019-01-20,TG,A,J,0.0,0.0,,19
TG_A_J_20190121,2019-01-21,TG,A,J,26366.0,1852.4,2144.0,20
TG_A_J_20190122,2019-01-22,TG,A,J,27582.0,1682.0,2067.0,21
TG_A_J_20190123,2019-01-23,TG,A,J,23029.0,1837.0,2149.0,22
TG_A_J_20190124,2019-01-24,TG,A,J,27157.0,2000.6,2148.0,23
TG_A_J_20190125,2019-01-25,TG,A,J,32280.0,2155.8,2513.0,24
TG_A_J_20190126,2019-01-26,TG,A,J,22324.0,2304.75,2629.0,25
TG_A_J_20190127,2019-01-27,TG,A,J,0.0,0.0,,26
TG_A_J_20190128,2019-01-28,TG,A,J,26983.0,2548.625,2932.0,27
TG_A_J_20190129,2019-01-29,TG,A,J,24969.0,2624.875,2472.0,28
TG_A_J_20190130,2019-01-30,TG,A,J,27852.0,2603.0,2377.0,29
TG_A_J_20190131,2019-01-31,TG,A,J,15997.0,2529.25,2278.0,30
TG_A_J_20190201,2019-02-01,TG,A,J,36010.0,2442.95,2349.0,31
TG_A_J_20190202,2019-02-02,TG,A,J,8808.0,2369.175,2286.0,32
TG_A_J_20190203,2019-02-03,TG,A,J,0.0,0.0,,33
TG_A_J_20190204,2019-02-04,TG,A,J,8468.0,2160.5,1831.0,34
TG_A_J_20190205,2019-02-05,TG,A,J,0.0,0.0,,35
TG_A_J_20190206,2019-02-06,TG,A,J,0.0,0.0,,36
TG_A_J_20190207,2019-02-07,TG,A,J,0.0,0.0,,37
TG_A_J_20190208,2019-02-08,TG,A,J,0.0,0.0,,38
TG_A_J_20190209,2019-02-09,TG,A,J,2312.0,2324.1099999999997,2795.0,39
TG_A_J_20190210,2019-02-10,TG,A,J,0.0,0.0,,40
TG_A_J_20190211,2019-02-11,TG,A,J,5791.0,2539.13,2612.0,41
TG_A_J_20190212,2019-02-12,TG,A,J,5000.0,2467.2650000000003,1979.0,42
TG_A_J_20190213,2019-02-13,TG,A,J,5496.0,2379.6549999999997,2022.0,43
TG_A_J_20190214,2019-02-14,TG,A,J,7219.0,2327.9,2323.0,44
TG_A_J_20190215,2019-02-15,TG,A,J,9932.0,2291.6,2522.0,45
TG_A_J_20190216,2019-02-16,TG,A,J,4525.0,2146.8,1888.0,46
TG_A_J_20190217,2019-02-17,TG,A,J,0.0,0.0,,47
TG_A_J_20190218,2019-02-18,TG,A,J,11360.0,2162.1,2089.0,48
TG_A_J_20190219,2019-02-19,TG,A,J,6790.0,2013.7,1581.0,49
TG_A_J_20190220,2019-02-20,TG,A,J,4890.0,2012.5,2516.0,50
TG_A_J_20190221,2019-02-21,TG,A,J,1309.0,2251.3,3730.0,51
TG_A_J_20190222,2019-02-22,TG,A,J,2547.0,2583.2,3648.0,52
TG_A_J_20190223,2019-02-23,TG,A,J,4080.0,2795.6,2310.0,53
TG_A_J_20190224,2019-02-24,TG,A,J,0.0,0.0,,54
TG_A_J_20190225,2019-02-25,TG,A,J,6895.0,3097.15,2998.0,55
TG_A_J_20190226,2019-02-26,TG,A,J,4057.0,3130.25,2249.0,56
TG_A_J_20190227,2019-02-27,TG,A,J,3800.0,3109.5,1672.0,57
TG_A_J_20190228,2019-02-28,TG,A,J,5540.0,3247.5,3841.0,58
TG_A_J_20190301,2019-03-01,TG,A,J,1700.0,3513.166666666667,4307.0,59
TG_A_J_20190302,2019-03-02,TG,A,J,1967.0,3747.75,4538.0,60
TG_A_J_20190303,2019-03-03,TG,A,J,0.0,0.0,,61
TG_A_J_20190304,2019-03-04,TG,A,J,4891.0,4096.266666666667,3992.0,62
TG_A_J_20190305,2019-03-05,TG,A,J,1210.0,4182.8,4055.0,63
TG_A_J_20190306,2019-03-06,TG,A,J,3650.0,4241.9333333333325,4278.0,64
TG_A_J_20190307,2019-03-07,TG,A,J,2295.0,4250.2,4165.0,65
TG_A_J_20190308,2019-03-08,TG,A,J,3570.0,4232.8,3690.0,66
TG_A_J_20190309,2019-03-09,TG,A,J,550.0,4217.133333333333,4838.0,67
TG_A_J_20190310,2019-03-10,TG,A,J,0.0,0.0,,68
TG_A_J_20190311,2019-03-11,TG,A,J,2165.0,4191.0,4217.0,69
TG_A_J_20190312,2019-03-12,TG,A,J,1650.0,4148.3,3904.0,70
TG_A_J_20190313,2019-03-13,TG,A,J,2850.0,4049.9,3686.0,71
TG_A_J_20190314,2019-03-14,TG,A,J,3052.0,3937.6,3552.0,72
TG_A_J_20190315,2019-03-15,TG,A,J,5970.0,3811.4,3573.0,73
TG_A_J_20190316,2019-03-16,TG,A,J,5870.0,3676.2,3541.0,74
TG_A_J_20190317,2019-03-17,TG,A,J,0.0,0.0,,75
TG_A_J_20190318,2019-03-18,TG,A,J,3370.0,3531.3,3530.0,76
TG_A_J_20190319,2019-03-19,TG,A,J,1435.0,3479.8,3372.0,77
TG_A_J_20190320,2019-03-20,TG,A,J,2690.0,3487.0,3609.0,78
TG_A_J_20190321,2019-03-21,TG,A,J,665.0,3620.5333333333338,3961.0,79
TG_A_J_20190322,2019-03-22,TG,A,J,207.0,3885.2666666666664,4768.0,80
TG_A_J_20190323,2019-03-23,TG,A,J,931.0,4281.2,5408.0,81
TG_A_J_20190324,2019-03-24,TG,A,J,0.0,0.0,,82
TG_A_J_20190325,2019-03-25,TG,A,J,950.0,5005.3,5265.0,83
TG_A_J_20190326,2019-03-26,TG,A,J,2090.0,5055.066666666667,3443.0,84
TG_A_J_20190327,2019-03-27,TG,A,J,2450.0,4823.4,3650.0,85
