,week,year,month,day,item_BC,item_CB,item_CR,item_RD,item_TG,corporation_A,corporation_B,corporation_C,corporation_D,corporation_E,corporation_F,location_J,location_S,day_name_Friday,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,price(원/kg)
0,1,2019,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
1,1,2019,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
2,1,2019,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1728.0
3,1,2019,1,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1408.0
4,1,2019,1,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1250.0
5,1,2019,1,6,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
6,2,2019,1,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1474.0
7,2,2019,1,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1326.0
8,2,2019,1,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1428.0
9,2,2019,1,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1433.0
10,2,2019,1,11,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1546.0
11,2,2019,1,12,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1374.0
12,2,2019,1,13,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
13,3,2019,1,14,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1694.0
14,3,2019,1,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1456.0
15,3,2019,1,16,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1470.0
16,3,2019,1,17,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2919.0
17,3,2019,1,18,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1374.0
18,3,2019,1,19,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1330.0
19,3,2019,1,20,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
