,ID,timestamp,item,corporation,location,supply(kg)_x,price(원/kg),Date,week,day_name,year,month,day,기간,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지,supply(kg)_y,전체 거래량
15230,CR_A_J_20190101,2019-01-01,CR,A,J,0.0,0.0,2019-01-01,1.0,Tuesday,2019,1,1.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15231,CR_A_J_20190102,2019-01-02,CR,A,J,0.0,0.0,2019-01-02,1.0,Wednesday,2019,1,2.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15232,CR_A_J_20190103,2019-01-03,CR,A,J,0.0,0.0,2019-01-03,1.0,Thursday,2019,1,3.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15233,CR_A_J_20190104,2019-01-04,CR,A,J,10240.0,1141.0,2019-01-04,1.0,Friday,2019,1,4.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15234,CR_A_J_20190105,2019-01-05,CR,A,J,8680.0,1133.0,2019-01-05,1.0,Saturday,2019,1,5.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15235,CR_A_J_20190106,2019-01-06,CR,A,J,0.0,0.0,2019-01-06,1.0,Sunday,2019,1,6.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15236,CR_A_J_20190107,2019-01-07,CR,A,J,0.0,0.0,2019-01-07,2.0,Monday,2019,1,7.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15237,CR_A_J_20190108,2019-01-08,CR,A,J,0.0,0.0,2019-01-08,2.0,Tuesday,2019,1,8.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15238,CR_A_J_20190109,2019-01-09,CR,A,J,15700.0,1112.0,2019-01-09,2.0,Wednesday,2019,1,9.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15239,CR_A_J_20190110,2019-01-10,CR,A,J,0.0,0.0,2019-01-10,2.0,Thursday,2019,1,10.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15240,CR_A_J_20190111,2019-01-11,CR,A,J,8900.0,1140.0,2019-01-11,2.0,Friday,2019,1,11.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15241,CR_A_J_20190112,2019-01-12,CR,A,J,0.0,0.0,2019-01-12,2.0,Saturday,2019,1,12.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15242,CR_A_J_20190113,2019-01-13,CR,A,J,0.0,0.0,2019-01-13,2.0,Sunday,2019,1,13.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15243,CR_A_J_20190114,2019-01-14,CR,A,J,5240.0,1125.0,2019-01-14,3.0,Monday,2019,1,14.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15244,CR_A_J_20190115,2019-01-15,CR,A,J,0.0,0.0,2019-01-15,3.0,Tuesday,2019,1,15.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15245,CR_A_J_20190116,2019-01-16,CR,A,J,5200.0,1350.0,2019-01-16,3.0,Wednesday,2019,1,16.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15246,CR_A_J_20190117,2019-01-17,CR,A,J,10400.0,1177.0,2019-01-17,3.0,Thursday,2019,1,17.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15247,CR_A_J_20190118,2019-01-18,CR,A,J,10280.0,1013.0,2019-01-18,3.0,Friday,2019,1,18.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15248,CR_A_J_20190119,2019-01-19,CR,A,J,3780.0,1004.0,2019-01-19,3.0,Saturday,2019,1,19.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15249,CR_A_J_20190120,2019-01-20,CR,A,J,0.0,0.0,2019-01-20,3.0,Sunday,2019,1,20.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15250,CR_A_J_20190121,2019-01-21,CR,A,J,4020.0,1001.0,2019-01-21,4.0,Monday,2019,1,21.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15251,CR_A_J_20190122,2019-01-22,CR,A,J,5060.0,981.0,2019-01-22,4.0,Tuesday,2019,1,22.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15252,CR_A_J_20190123,2019-01-23,CR,A,J,18900.0,1120.0,2019-01-23,4.0,Wednesday,2019,1,23.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15253,CR_A_J_20190124,2019-01-24,CR,A,J,0.0,0.0,2019-01-24,4.0,Thursday,2019,1,24.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15254,CR_A_J_20190125,2019-01-25,CR,A,J,5200.0,1072.0,2019-01-25,4.0,Friday,2019,1,25.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
15255,CR_A_J_20190126,2019-01-26,CR,A,J,16020.0,1066.0,2019-01-26,4.0,Saturday,2019,1,26.0,2019-01,당근,23150.0,22.0,7466150.0,2955.0,-2934.0,2370540.0,7489300.0
