,ID,timestamp,item,corporation,location,supply(kg)_x,price(원/kg),Date,week,day_name,year,month,day,기간,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지,supply(kg)_y,전체 거래량
33506,RD_A_J_20190101,2019-01-01,RD,A,J,0.0,0.0,2019-01-01,1.0,Tuesday,2019,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33507,RD_A_J_20190102,2019-01-02,RD,A,J,0.0,0.0,2019-01-02,1.0,Wednesday,2019,1,2.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33508,RD_A_J_20190103,2019-01-03,RD,A,J,37060.0,367.0,2019-01-03,1.0,Thursday,2019,1,3.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33509,RD_A_J_20190104,2019-01-04,RD,A,J,19260.0,460.0,2019-01-04,1.0,Friday,2019,1,4.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33510,RD_A_J_20190105,2019-01-05,RD,A,J,32140.0,402.0,2019-01-05,1.0,Saturday,2019,1,5.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33511,RD_A_J_20190106,2019-01-06,RD,A,J,0.0,0.0,2019-01-06,1.0,Sunday,2019,1,6.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33512,RD_A_J_20190107,2019-01-07,RD,A,J,58860.0,346.0,2019-01-07,2.0,Monday,2019,1,7.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33513,RD_A_J_20190108,2019-01-08,RD,A,J,37060.0,322.0,2019-01-08,2.0,Tuesday,2019,1,8.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33514,RD_A_J_20190109,2019-01-09,RD,A,J,34940.0,313.0,2019-01-09,2.0,Wednesday,2019,1,9.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33515,RD_A_J_20190110,2019-01-10,RD,A,J,26360.0,301.0,2019-01-10,2.0,Thursday,2019,1,10.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33516,RD_A_J_20190111,2019-01-11,RD,A,J,24720.0,306.0,2019-01-11,2.0,Friday,2019,1,11.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33517,RD_A_J_20190112,2019-01-12,RD,A,J,4280.0,310.0,2019-01-12,2.0,Saturday,2019,1,12.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33518,RD_A_J_20190113,2019-01-13,RD,A,J,0.0,0.0,2019-01-13,2.0,Sunday,2019,1,13.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33519,RD_A_J_20190114,2019-01-14,RD,A,J,12840.0,347.0,2019-01-14,3.0,Monday,2019,1,14.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33520,RD_A_J_20190115,2019-01-15,RD,A,J,12840.0,348.0,2019-01-15,3.0,Tuesday,2019,1,15.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33521,RD_A_J_20190116,2019-01-16,RD,A,J,25680.0,328.0,2019-01-16,3.0,Wednesday,2019,1,16.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33522,RD_A_J_20190117,2019-01-17,RD,A,J,37560.0,310.0,2019-01-17,3.0,Thursday,2019,1,17.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33523,RD_A_J_20190118,2019-01-18,RD,A,J,29320.0,331.0,2019-01-18,3.0,Friday,2019,1,18.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33524,RD_A_J_20190119,2019-01-19,RD,A,J,19260.0,311.0,2019-01-19,3.0,Saturday,2019,1,19.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33525,RD_A_J_20190120,2019-01-20,RD,A,J,0.0,0.0,2019-01-20,3.0,Sunday,2019,1,20.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33526,RD_A_J_20190121,2019-01-21,RD,A,J,12840.0,328.0,2019-01-21,4.0,Monday,2019,1,21.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33527,RD_A_J_20190122,2019-01-22,RD,A,J,26700.0,338.0,2019-01-22,4.0,Tuesday,2019,1,22.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33528,RD_A_J_20190123,2019-01-23,RD,A,J,25040.0,368.0,2019-01-23,4.0,Wednesday,2019,1,23.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33529,RD_A_J_20190124,2019-01-24,RD,A,J,33280.0,353.0,2019-01-24,4.0,Thursday,2019,1,24.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33530,RD_A_J_20190125,2019-01-25,RD,A,J,37060.0,363.0,2019-01-25,4.0,Friday,2019,1,25.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33531,RD_A_J_20190126,2019-01-26,RD,A,J,27320.0,353.0,2019-01-26,4.0,Saturday,2019,1,26.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33532,RD_A_J_20190127,2019-01-27,RD,A,J,0.0,0.0,2019-01-27,4.0,Sunday,2019,1,27.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33533,RD_A_J_20190128,2019-01-28,RD,A,J,17120.0,355.0,2019-01-28,5.0,Monday,2019,1,28.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
33534,RD_A_J_20190129,2019-01-29,RD,A,J,33920.0,346.0,2019-01-29,5.0,Tuesday,2019,1,29.0,0,0,0.0,0.0,0.0,0.0,0.0,13685460.0,0.0
