,ID,timestamp,item,corporation,location,supply(kg)_x,price(원/kg),Date,week,day_name,year,month,day,기간,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지,supply(kg)_y,전체 거래량
0,TG_A_J_20190101,2019-01-01,TG,A,J,0.0,0.0,2019-01-01,1.0,Tuesday,2019,1,1.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
1,TG_A_J_20190102,2019-01-02,TG,A,J,0.0,0.0,2019-01-02,1.0,Wednesday,2019,1,2.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
2,TG_A_J_20190103,2019-01-03,TG,A,J,60601.0,1728.0,2019-01-03,1.0,Thursday,2019,1,3.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
3,TG_A_J_20190104,2019-01-04,TG,A,J,25000.0,1408.0,2019-01-04,1.0,Friday,2019,1,4.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
4,TG_A_J_20190105,2019-01-05,TG,A,J,32352.0,1250.0,2019-01-05,1.0,Saturday,2019,1,5.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
5,TG_A_J_20190106,2019-01-06,TG,A,J,0.0,0.0,2019-01-06,1.0,Sunday,2019,1,6.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
6,TG_A_J_20190107,2019-01-07,TG,A,J,44995.0,1474.0,2019-01-07,2.0,Monday,2019,1,7.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
7,TG_A_J_20190108,2019-01-08,TG,A,J,26975.0,1326.0,2019-01-08,2.0,Tuesday,2019,1,8.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
8,TG_A_J_20190109,2019-01-09,TG,A,J,29265.0,1428.0,2019-01-09,2.0,Wednesday,2019,1,9.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
9,TG_A_J_20190110,2019-01-10,TG,A,J,21226.0,1433.0,2019-01-10,2.0,Thursday,2019,1,10.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
10,TG_A_J_20190111,2019-01-11,TG,A,J,25752.0,1546.0,2019-01-11,2.0,Friday,2019,1,11.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
11,TG_A_J_20190112,2019-01-12,TG,A,J,35488.0,1374.0,2019-01-12,2.0,Saturday,2019,1,12.0,2019-01,감귤,58368.0,172.0,0.0,0.0,172.0,14704526.7,58368.0
