ID,answer
TG_A_J_20230304,3400.38
TG_A_J_20230305,0.0
TG_A_J_20230306,3361.66
TG_A_J_20230307,3259.05
TG_A_J_20230308,3389.54
TG_A_J_20230309,3839.25
TG_A_J_20230310,3279.41
TG_A_J_20230311,3244.16
TG_A_J_20230312,0.0
TG_A_J_20230313,3078.17
TG_A_J_20230314,3133.73
TG_A_J_20230315,3343.62
TG_A_J_20230316,3338.22
TG_A_J_20230317,3153.55
TG_A_J_20230318,3114.61
TG_A_J_20230319,0.0
TG_A_J_20230320,4888.98
TG_A_J_20230321,5048.91
TG_A_J_20230322,4729.86
TG_A_J_20230323,4745.82
TG_A_J_20230324,4978.13
TG_A_J_20230325,5722.3
TG_A_J_20230326,0.0
TG_A_J_20230327,6699.84
TG_A_J_20230328,5972.16
TG_A_J_20230329,5824.9
TG_A_J_20230330,5525.44
TG_A_J_20230331,4899.12
TG_A_S_20230304,3400.38
TG_A_S_20230305,0.0
TG_A_S_20230306,3361.66
TG_A_S_20230307,3259.05
TG_A_S_20230308,3389.54
TG_A_S_20230309,3839.25
TG_A_S_20230310,3279.41
TG_A_S_20230311,3244.16
TG_A_S_20230312,0.0
TG_A_S_20230313,3078.17
TG_A_S_20230314,3133.73
TG_A_S_20230315,3343.62
TG_A_S_20230316,3338.22
TG_A_S_20230317,3153.55
TG_A_S_20230318,3114.61
TG_A_S_20230319,0.0
TG_A_S_20230320,4888.98
TG_A_S_20230321,5048.91
TG_A_S_20230322,4729.86
TG_A_S_20230323,4745.82
TG_A_S_20230324,4978.13
TG_A_S_20230325,5722.3
TG_A_S_20230326,0.0
TG_A_S_20230327,6699.84
TG_A_S_20230328,5972.16
TG_A_S_20230329,5824.9
TG_A_S_20230330,5525.44
TG_A_S_20230331,4899.12
TG_B_J_20230304,3400.38
TG_B_J_20230305,0.0
TG_B_J_20230306,3361.66
TG_B_J_20230307,3259.05
TG_B_J_20230308,3389.54
TG_B_J_20230309,3839.25
TG_B_J_20230310,3279.41
TG_B_J_20230311,3244.16
TG_B_J_20230312,0.0
TG_B_J_20230313,3078.17
TG_B_J_20230314,3133.73
TG_B_J_20230315,3343.62
TG_B_J_20230316,3338.22
TG_B_J_20230317,3153.55
